open,close,volume,symbol,exchange,date
300.305,324.24,42437496.0,COIN,XNAS,2024-11-11T00:00:00+0000
297.0,340.0,47315730.0,MSTR,XNAS,2024-11-11T00:00:00+0000
257.67,270.74,17431714.0,COIN,XNAS,2024-11-08T00:00:00+0000
275.575,270.42,18764220.0,MSTR,XNAS,2024-11-08T00:00:00+0000
245.63,255.58,16485845.0,COIN,XNAS,2024-11-07T00:00:00+0000
256.8,270.81,23931687.0,MSTR,XNAS,2024-11-07T00:00:00+0000
221.479,254.31,35143244.0,COIN,XNAS,2024-11-06T00:00:00+0000
260.0,257.81,26270427.0,MSTR,XNAS,2024-11-06T00:00:00+0000
185.59,193.96,9875642.0,COIN,XNAS,2024-11-05T00:00:00+0000
233.34,227.8,17993882.0,MSTR,XNAS,2024-11-05T00:00:00+0000
180.09,186.27,10745289.0,COIN,XNAS,2024-11-04T00:00:00+0000
226.97,222.99,13438764.0,MSTR,XNAS,2024-11-04T00:00:00+0000
180.0,182.88,14443372.0,COIN,XNAS,2024-11-01T00:00:00+0000
245.33,229.71,26258857.0,MSTR,XNAS,2024-11-01T00:00:00+0000
203.73,179.25,18868646.0,COIN,XNAS,2024-10-31T00:00:00+0000
251.12,244.5,21954122.0,MSTR,XNAS,2024-10-31T00:00:00+0000
213.1,211.74,8845461.0,COIN,XNAS,2024-10-30T00:00:00+0000
246.5,247.31,20593324.0,MSTR,XNAS,2024-10-30T00:00:00+0000
220.905,219.66,11437841.0,COIN,XNAS,2024-10-29T00:00:00+0000
264.25,258.24,25958545.0,MSTR,XNAS,2024-10-29T00:00:00+0000
213.35,216.1,10458713.0,COIN,XNAS,2024-10-28T00:00:00+0000
244.64,255.34,23181974.0,MSTR,XNAS,2024-10-28T00:00:00+0000
208.3,205.04,9261318.0,COIN,XNAS,2024-10-25T00:00:00+0000
236.385,234.34,25093205.0,MSTR,XNAS,2024-10-25T00:00:00+0000
206.868,209.16,9818312.0,COIN,XNAS,2024-10-24T00:00:00+0000
220.09,235.89,23221545.0,MSTR,XNAS,2024-10-24T00:00:00+0000
206.3,198.93,10225871.0,COIN,XNAS,2024-10-23T00:00:00+0000
215.08,213.95,17025503.0,MSTR,XNAS,2024-10-23T00:00:00+0000
209.45,210.72,7485083.0,COIN,XNAS,2024-10-22T00:00:00+0000
216.21,219.7,13758062.0,MSTR,XNAS,2024-10-22T00:00:00+0000
215.4,213.72,12597328.0,COIN,XNAS,2024-10-21T00:00:00+0000
214.49,219.05,18028627.0,MSTR,XNAS,2024-10-21T00:00:00+0000
208.05,220.21,13569592.0,COIN,XNAS,2024-10-18T00:00:00+0000
197.59,215.86,22814822.0,MSTR,XNAS,2024-10-18T00:00:00+0000
209.2,204.2,8841409.0,COIN,XNAS,2024-10-17T00:00:00+0000
192.8,193.42,11414281.0,MSTR,XNAS,2024-10-17T00:00:00+0000
203.53,210.48,13959552.0,COIN,XNAS,2024-10-16T00:00:00+0000
199.9,194.09,12434577.0,MSTR,XNAS,2024-10-16T00:00:00+0000
195.68,196.34,17262000.0,COIN,XNAS,2024-10-15T00:00:00+0000
206.73,194.31,23114601.0,MSTR,XNAS,2024-10-15T00:00:00+0000
181.185,196.35,17860845.0,COIN,XNAS,2024-10-14T00:00:00+0000
224.48,201.67,31736611.0,MSTR,XNAS,2024-10-14T00:00:00+0000
165.54,176.38,10767071.0,COIN,XNAS,2024-10-11T00:00:00+0000
188.5,212.59,29933775.0,MSTR,XNAS,2024-10-11T00:00:00+0000
166.05,164.27,5308427.0,COIN,XNAS,2024-10-10T00:00:00+0000
191.89,183.34,15937522.0,MSTR,XNAS,2024-10-10T00:00:00+0000
167.69,166.97,5578919.0,COIN,XNAS,2024-10-09T00:00:00+0000
189.77,188.91,13428662.0,MSTR,XNAS,2024-10-09T00:00:00+0000
166.36,167.69,5666129.0,COIN,XNAS,2024-10-08T00:00:00+0000
186.1,192.2,20957668.0,MSTR,XNAS,2024-10-08T00:00:00+0000
172.0,168.92,6739880.0,COIN,XNAS,2024-10-07T00:00:00+0000
179.71,186.09,19825952.0,MSTR,XNAS,2024-10-07T00:00:00+0000
